ticker,date,buynumtrades_lr,sellnumtrades_lr,total_trade,buyvol_lr,sellvol_lr,total_vol,avg_buy_price_lr,avg_sell_price_lr,buy_dv_lr,sell_dv_lr,total_dv_lr,vwavg_buy_price_lr,vwavg_sell_price_lr,symbol,ctime,cex,csize,cprc,tr_seqnum_close,c_official,otime,oex,osize,oprc,tr_seqnum_open,o_official,size_1pm,ttime_1pm,ptime_1pm,size_4pm,ttime_4pm,ptime_4pm,stime_open,ttime_open,ptime_open,stime_close,ttime_close,ptime_close,nbbot_1pm,nbo_1pm,nbb_1pm,nboqty_1pm,nbbqty_1pm,nbbot_4pm,nbo_4pm,nbb_4pm,nboqty_4pm,nbbqty_4pm,nbbot_after_open,nbo_after_open,nbb_after_open,nboqty_after_open,nbbqty_after_open,nbbot_before_close,nbo_before_close,nbb_before_close,nboqty_before_close,nbbqty_before_close,mid_1pm,mid_4pm,mid_after_open,mid_before_close,price_low_m,price_high_m,avg_price_m,total_vol_m,total_dollar_m,total_n_trades_m,vw_price_m,price_low_b,price_high_b,avg_price_b,total_vol_b,total_dollar_b,total_n_trades_b,vw_price_b,price_low_a,price_high_a,avg_price_a,total_vol_a,total_dollar_a,total_n_trades_a,vw_price_a,ret_mkt_m,n_outside_nbbo_trade,n_oddlot_trade,oddlot_vol,oddlot_dollar,n_iso_trade,iso_vol,iso_dollar,buynumtrades_tick,buyvol_tick,buy_dv_tick,avg_buy_price_tick,sellnumtrades_tick,sellvol_tick,sell_dv_tick,avg_sell_price_tick,total_trade_tick,total_vol_tick,total_dv_tick,vwavg_buy_price_tick,vwavg_sell_price_tick,buynumtrades_wrds,buyvol_wrds,buy_dv_wrds,avg_buy_price_wrds,sellnumtrades_wrds,sellvol_wrds,sell_dv_wrds,avg_sell_price_wrds,total_trade_wrds,total_vol_wrds,total_dv_wrds,vwavg_buy_price_wrds,vwavg_sell_price_wrds,quotedspread_dollar_tw,quotedspread_percent_tw,bestofrdepth_dollar_tw,bestbiddepth_dollar_tw,bestofrdepth_share_tw,bestbiddepth_share_tw,effectivespread_dollar_ave,effectivespread_percent_ave,effectivespread_dollar_dw,effectivespread_dollar_sw,effectivespread_percent_dw,effectivespread_percent_sw,dollarrealizedspread_lr_ave,percentrealizedspread_lr_ave,dollarpriceimpact_lr_ave,percentpriceimpact_lr_ave,dollarrealizedspread_lr_sw,dollarrealizedspread_lr_dw,percentrealizedspread_lr_sw,percentrealizedspread_lr_dw,dollarpriceimpact_lr_sw,dollarpriceimpact_lr_dw,percentpriceimpact_lr_sw,percentpriceimpact_lr_dw,ivol_t,ivol_q,bs_ratio_num,bs_ratio_vol,tsignsqrtdvol1,tsignsqrtdvol2,n_obs,n5_pos,n30_pos,hindex,var_ratio1,var_ratio2,var_ratio3,var_ratio4,var_ratio5,buynumtrades_retail,buyvol_retail,buy_dv_retail,sellnumtrades_retail,sellvol_retail,sell_dv_retail,total_trade_retail,total_vol_retail,total_dv_retail,avg_buy_price_retail,avg_sell_price_retail,bs_ratio_retail_num,bs_ratio_retail_vol,buynumtrades_inst20k,buyvol_inst20k,buy_dv_inst20k,sellnumtrades_inst20k,sellvol_inst20k,sell_dv_inst20k,total_trade_inst20k,total_vol_inst20k,total_dv_inst20k,avg_buy_price_inst20k,avg_sell_price_inst20k,bs_ratio_inst20k_num,bs_ratio_inst20k_vol,buynumtrades_inst50k,buyvol_inst50k,buy_dv_inst50k,sellnumtrades_inst50k,sellvol_inst50k,sell_dv_inst50k,total_trade_inst50k,total_vol_inst50k,total_dv_inst50k,avg_buy_price_inst50k,avg_sell_price_inst50k,bs_ratio_inst50k_num,bs_ratio_inst50k_vol
MMM,2023-10-11,19873.0,18322.0,38195.0,793317.0,888969.0,1682286.0,90.21351573063792,90.2067059370676,71562011.04526344,80221004.04259764,151783015.08786106,90.20607278712473,90.24049662316416,MMM,57602.277840128,N,361468.0,90.39,3033552.0,1.0,34200.952492544,N,44796.0,90.78,83893.0,1.0,200.0,46799.3934016,90.1099,15.0,57599.940233472,90.385,25.0,34200.952492544,90.84,100.0,57600.30897792,90.39,46799.92799616,90.11,90.09,100.0,200.0,57599.998613248,90.39,90.38,47300.0,16300.0,34200.952467944,90.99,90.8,100.0,400.0,57600.079065832004,90.39,90.38,100.0,100.0,90.1,90.38499999999999,90.895,90.38499999999999,89.75,91.0188,90.21006322458398,2043713.0,184452298.02786246,38186.0,90.253522890867,90.64,91.64,91.1128610687022,9146.0,833304.8602,524.0,91.11139954078286,90.006,91.0,90.43836499999996,68614.0,6202093.33700001,180.0,90.39107670446278,-0.004305355217999958,1002.0,30802.0,525331.0,47385904.53541232,9312.0,368675.0,33266851.5779999,19256.0,1190674.0,107489409.48696373,90.23112153692101,19633.0,930798.0,83998195.96809764,90.215569341362,38889.0,2121472.0,191487605.45506138,90.27610369166013,90.24320633273561,20212.0,864807.0,78027092.3154635,90.22464090713225,18678.0,1256666.0,113460603.90959774,90.22181588922531,38890.0,2121473.0,191487696.22506124,90.22486209693434,90.28700061082081,0.02060774634049155,0.0002282547359563508,15752.302545539362,15488.408835842743,174.62887026207864,171.75676094709556,0.011973241306257243,0.00013254093053431874,0.018887400771615867,0.018841320230437407,0.0002087792282880469,0.00020827298668055515,0.009447352067165843,0.00010443721909038034,0.0025258892390794853,2.810371144392095e-05,0.008097326160819087,0.008132358468535526,8.927961248142849e-05,8.966441577286305e-05,0.01074399406961886,0.010755042303080048,0.00011899337419912822,0.00011911481251518646,2.3833450426536894e-08,1.8357627514230963e-09,0.040607409346773135,0.05685834632161238,3.8249970439309764e-07,3.9684089710338685e-07,77.0,78.0,13.0,0.11472301376485763,0.027005574489922024,0.0376091664217304,0.18087038179187154,0.3572532531806112,0.1545817098201977,2007.0,97485.0,8789653.937761031,1510.0,128234.0,11570378.1186,3517.0,225719.0,20360032.05636103,90.18846771001498,90.2228208609273,0.14131361956212682,0.1362269015900301,296.0,155007.0,13980970.919948004,346.0,247807.0,22383517.973100007,642.0,402814.0,36364488.89304801,90.19967264527021,90.22694884393067,0.0778816199376947,0.23037928175286856,75.0,78177.0,7050615.814099999,96.0,161981.0,14640739.730600007,171.0,240158.0,21691355.544700004,90.199728,90.24843125000001,0.12280701754385964,0.3489536055430175
MMM,2023-10-12,20947.0,20842.0,41789.0,902053.0,993578.0,1895631.0,89.19282073328587,89.18763229537156,80530519.92219926,88637993.13049899,169168513.05269825,89.27470993633332,89.2109055660441,MMM,57601.961670656,N,298928.0,89.02,3270379.0,1.0,34200.963807232,N,46885.0,90.53,81566.0,1.0,1.0,46798.094441984,89.6363,84.0,57599.976716288,89.03,1.0,34200.964853504,90.44,100.0,57600.194852096,89.04,46794.65552,89.64,89.63,200.0,200.0,57599.99941248,89.04,89.03,14700.0,1800.0,34200.96468836,90.58,90.37,100.0,100.0,57600.181406696,89.09,88.87,100.0,1000.0,89.63499999999999,89.035,90.475,88.98,88.45,90.6,89.1901296561254,2194664.0,195788366.36270142,41789.0,89.21108942539789,90.37,91.4,90.89009385113276,11782.0,1070649.2200000004,618.0,90.87160244440676,88.85,90.0,89.16742038797827,131866.0,11739351.793271989,183.0,89.02485700083409,-0.016820223899640736,1076.0,33873.0,551405.0,49175780.986000426,12051.0,471006.0,42003753.615000114,19919.0,898507.0,80219842.36767133,89.22407768116634,22670.0,1439803.0,128378342.8082994,89.20637586237922,42589.0,2338310.0,208598185.17597073,89.28126588626614,89.16382505683028,21231.0,908001.0,81069275.60719933,89.21312358815597,21358.0,1430309.0,127528909.56877099,89.21617741507325,42589.0,2338310.0,208598185.17597032,89.28324485017012,89.16178921391881,0.023850622827432902,0.0002672098364879587,14266.246303291106,16618.046380837295,159.969536044961,186.42015579241064,0.012470341876245485,0.00013958380729653253,0.015016837970728402,0.01497924833073783,0.0001678552605983785,0.00016744179779202358,0.0036427139182089343,4.0684784487914136e-05,0.008827927776311513,9.890237875329089e-05,0.031599988435081945,0.032106920623944726,0.0003500816822518585,0.00035570614433949827,-0.0166199454538976,-0.017089284419861198,-0.0001826310016576717,-0.00018784196124572473,2.705461317670718e-08,1.8453829566999442e-09,0.0025126229390509463,0.048282075994747924,9.213620998171848e-07,9.112739308509259e-07,77.0,78.0,13.0,0.09358655484362183,0.04851245741362353,0.08010941005878736,0.47180070491766957,0.698573838351034,0.13103257399828472,2609.0,124125.0,11070277.766500007,1606.0,128578.0,11469755.180599997,4215.0,252703.0,22540032.947100006,89.138314411652,89.14897577833126,0.2379596678529063,0.017621476595054274,316.0,266940.0,23878940.285699993,433.0,285403.0,25470710.02470002,749.0,552343.0,49349650.31040001,89.15854556962019,89.17309607390295,0.15620827770360482,0.03342669319607563,109.0,193406.0,17324596.2623,124.0,178089.0,15902363.175300006,233.0,371495.0,33226959.437600005,89.20969724770644,89.19587661290319,0.06437768240343347,0.041230702970430286
MMM,2023-10-13,21558.0,20313.0,41871.0,866746.0,1025914.0,1892660.0,88.79297910288155,88.77305743120029,76931973.49710047,91094372.09569964,168026345.5928001,88.75953681597662,88.79338043510434,MMM,57602.127068928,N,386467.0,88.68,3065643.0,1.0,34200.826261504,N,38389.0,89.2,79887.0,1.0,2.0,46799.799863552,88.589,1700.0,57599.999957248,88.69,1.0,34200.834233088,89.225,100.0,57600.60232832,88.69,46794.440293376,88.6,88.57,100.0,100.0,57599.999959808,88.69,88.68,9500.0,1200.0,34200.826851304,89.49,89.1,200.0,100.0,57600.059357160004,88.71,88.65,100.0,100.0,88.585,88.685,89.29499999999999,88.68,88.25,89.88,88.78329697179997,2280926.0,202457791.9277985,41873.0,88.76122764517504,88.56,89.41,89.09771130952383,6727.0,599485.9649999995,336.0,89.1163914077597,88.4,88.91,88.69223373493979,63717.0,5650613.717700006,249.0,88.6829844107539,-0.005846654837852905,851.0,33616.0,599315.0,53199172.60270008,12439.0,529007.0,46958523.23500005,21061.0,884892.0,78543344.49140072,88.7916653245313,21396.0,1466476.0,130164368.51909967,88.77891325013756,42457.0,2351368.0,208707713.01050037,88.76037357259497,88.7599718775484,21874.0,874467.0,77618669.54010051,88.79650459449277,20584.0,1476903.0,131089222.0703998,88.77329235328253,42458.0,2351370.0,208707891.61050034,88.76111910466663,88.75953401841544,0.02724006085932897,0.00030643541135490487,15026.011278390093,14449.374005611642,169.11526542898162,162.7637488900825,0.01293290041216437,0.00014544462121150503,0.015382724704070525,0.01536561492462286,0.00017307218381208082,0.00017288263959127435,0.006163275184513378,6.920125532061051e-05,0.006769625227646684,7.624336589088035e-05,-0.010992857078454408,-0.011076298716592931,-0.00012331368858792467,-0.000124250883091955,0.026358472003077258,0.02645902342066352,0.00029619632817919696,0.000297323066904038,2.762356968631794e-08,2.0428344946966033e-09,0.02973418356380311,0.08409751355235488,3.6775519419257854e-07,3.747960817055655e-07,77.0,78.0,13.0,0.10213775149998885,0.04015454314538047,0.1804615734788615,0.08124150179905876,0.24329482793263046,0.27180686424769274,2181.0,98207.0,8717154.3584,1406.0,95892.0,8513918.261599991,3587.0,194099.0,17231072.61999999,88.80223791838604,88.79460540540532,0.216057987175913,0.011926903281315205,359.0,186649.0,16574058.521199994,349.0,265257.0,23580289.2455,708.0,451906.0,40154347.76669999,88.79105376044582,88.77233753581663,0.014124293785310734,0.17394767938465078,77.0,88123.0,7823590.355,96.0,176113.0,15670132.452099996,173.0,264236.0,23493722.807099998,88.75471298701297,88.8586791666667,0.10982658959537572,0.3329977747165413
TSLA,2023-10-11,565025.0,468695.0,1033720.0,47141428.0,51807952.0,98949380.0,264.3039900514922,264.0377885008662,12448766482.770138,13680868318.380686,26129634801.150826,264.07274897930836,264.06888885282876,TSLA,57600.068321718,Q,1730792.0,262.99,6178779.0,1.0,34200.632857509,Q,273611.0,266.19,514883.0,1.0,1.0,46799.868026396,262.3932,1.0,57599.997038376,262.96,10.0,34200.632992281,266.22,676.0,57600.004515886,262.95,46799.953368503,262.43,262.39,100.0,100.0,57599.999065469,262.96,262.95,3400.0,5300.0,34200.615254573,266.3,266.21,800.0,200.0,57599.999065469994,262.96,262.95,3400.0,5300.0,262.40999999999997,262.955,266.255,262.955,260.5295,268.6,264.18292344581994,100672166.0,26582681397.621166,1033539.0,264.05194656903643,263.62,266.7,265.56579165951416,1882289.0,500006815.7590963,33799.0,265.63764425074805,257.89,267.63,262.9918247199794,1153295.0,303303079.06749827,10089.0,262.9882892646706,-0.012094330874165173,54227.0,743956.0,14110358.0,3726894759.7220907,203275.0,13926218.0,3679418932.2877903,564579.0,49565197.0,13087108663.998547,264.3198973382926,512846.0,54141853.0,14298696512.449444,264.0998314266394,1077425.0,103707050.0,27385805176.44799,264.03826588238,264.096918006287,585654.0,50655946.0,13375510015.007292,264.32931801821894,491771.0,53051104.0,14010295161.440434,264.0791812703856,1077425.0,103707050.0,27385805176.447723,264.04619933476897,264.09054864231354,0.0356805469296854,0.00013534524905704104,60798.74927778141,60282.330906202435,230.7115509374617,228.8563550360056,0.025500502627364117,9.638434483003482e-05,0.02428600141604681,0.024255357731523253,9.185129840737601e-05,9.174025086443332e-05,0.034250906798918686,0.00012909346157770956,-0.008750600626448335,-3.270985918477159e-05,0.013045441303744439,0.012895664294528411,4.937256158923558e-05,4.88047873163032e-05,0.011209750871797134,0.011390171730601495,4.2367063329555544e-05,4.304588572085447e-05,6.288137824236666e-09,4.671744718981454e-10,0.09318771040513872,0.04716071995600175,9.40941899093302e-08,9.477552529252689e-08,77.0,78.0,13.0,0.09795380203451698,0.01785738407317017,0.002394839463184306,0.05544641087323243,0.06574800894940558,0.2678965764915331,99958.0,16056180.0,4238763655.603889,91318.0,16183197.0,4272542735.29395,191276.0,32239377.0,8511306390.897839,263.9612554572873,263.950391544694,0.04517032978523181,0.003939809382792974,152806.0,41405699.0,10933549588.455015,166022.0,45924088.0,12127011375.955753,318828.0,87329787.0,23060560964.410767,264.1026867498626,264.04032806196307,0.0414518172807909,0.051739379600227356,56590.0,31329028.0,8271827863.727285,61981.0,35048792.0,9255480471.409874,118571.0,66377820.0,17527308335.13716,264.01101580667773,264.03057037640434,0.04546642939673276,0.056039261307466864
TSLA,2023-10-12,616710.0,516786.0,1133496.0,53424497.0,54208831.0,107633328.0,262.0167805173609,261.52452976470465,13993226406.409916,14181937538.193636,28175163944.603554,261.92528132571687,261.61673802177427,TSLA,57600.03600906,Q,1005545.0,258.87,6898663.0,1.0,34200.804125727,Q,242965.0,262.93,376723.0,1.0,100.0,46799.95099456,263.4116,310.0,57599.984334326,258.904,100.0,34200.804581199,262.9,165.0,57600.0337244,258.82,46799.996891614,263.44,263.4,200.0,100.0,57599.976505484,258.94,258.88,2400.0,100.0,34200.632229263,262.9,262.79,100.0,100.0,57599.976505485,258.94,258.88,2400.0,100.0,263.41999999999996,258.90999999999997,262.845,258.90999999999997,256.63,265.41,261.7922449242171,108634952.0,28434437960.194042,1133391.0,261.7429974120488,261.3,267.655,262.74473350724475,1703742.0,447509954.67679864,31626.0,262.6629822336942,257.0,261.738084,257.88118312258564,1170141.0,302297236.0069307,13125.0,258.3425723967716,-0.015561831866843116,57179.0,821027.0,16073364.0,4206023331.2614417,252663.0,16338723.0,4276401502.950804,612770.0,54305921.0,14215979058.550213,261.9289026343657,565371.0,57202904.0,14968263457.327303,261.60661330345886,1178141.0,111508825.0,29184242515.877518,261.7758578949469,261.6696428091711,637328.0,55757194.0,14599746602.27269,261.99391792946074,540813.0,55751631.0,14584495913.604597,261.5153602282046,1178141.0,111508825.0,29184242515.87729,261.8450742387196,261.5976546695934,0.0362834315482033,0.00013863645221887737,55984.95618048542,55253.34508089391,213.96825231950666,211.29020588185878,0.02438684518952163,9.30394470461728e-05,0.02530385238441148,0.025281632230238334,9.658304144208257e-05,9.650537719395792e-05,-0.0064540572745187775,-2.5131992729172738e-05,0.03084103962906024,0.0001181719677255488,-0.0021379549228610303,-0.0021155213608924804,-8.406990073234411e-06,-8.325074051630351e-06,0.02741958887268744,0.027419375501942175,0.00010491237494695661,0.00010490812330751713,6.506191040555697e-09,4.942255376666942e-10,0.08815558237523556,0.007287092340023157,8.710894903052785e-08,9.153626423075553e-08,77.0,78.0,13.0,0.0890240700029214,0.002035886201146475,0.13646927677977216,0.03532032222435022,0.21937495052704614,0.4214725850819998,104656.0,17196469.0,4503714388.8209715,90399.0,16399151.0,4291376886.572447,195055.0,33595620.0,8795091275.393417,261.7540900072572,261.6584064093673,0.07309220476275922,0.023732796120446653,168412.0,47030616.0,12319285211.70115,180160.0,47650619.0,12466269626.742758,348572.0,94681235.0,24785554838.44391,261.8404522735869,261.53648283359746,0.03370322343733863,0.006548319738330409,62064.0,35953951.0,9419553598.296791,63151.0,35536626.0,9298594637.783365,125215.0,71490577.0,18718148236.080154,261.9312132927284,261.6320695460165,0.008681068562073234,0.005837482609771075
TSLA,2023-10-13,579034.0,480829.0,1059863.0,46258093.0,51930004.0,98188097.0,254.27777724388437,253.8547049556209,11752859616.420502,13193851333.631718,24946710950.05222,254.07142521894497,254.0699079020236,TSLA,57600.03494988,Q,1519118.0,251.12,6409526.0,1.0,34200.350321919,Q,172887.0,258.87,320941.0,1.0,50.0,46799.988429585,253.182,199.0,57599.907697239,251.13,100.0,34200.350624338,258.88,19.0,57600.032340884,251.13,46799.57341574,253.22,253.18,200.0,1000.0,57599.910023377,251.13,251.12,200.0,12500.0,34200.35032082599,259.06,258.86,100.0,1000.0,57600.02784371,251.13,251.12,100.0,12500.0,253.2,251.125,258.96000000000004,251.125,250.22,259.6,254.08545170999875,99706420.0,25327966420.880184,1059812.0,254.02543207227964,255.3,259.93,257.4505076815829,1480665.0,381453608.49470156,30111.0,257.6231683025543,250.75,264.72,251.31711163132059,1270058.0,319039269.88890266,13627.0,251.20055138340348,-0.030395092654627694,61367.0,763047.0,14347064.0,3643225074.2441287,239279.0,16788934.0,4260631254.5427628,575396.0,46738275.0,11873816697.52548,254.28577546579564,528153.0,55718768.0,14154616851.740465,253.98762423918527,1103549.0,102457043.0,26028433549.265945,254.04909996197935,254.03678795878017,599877.0,47908544.0,12172155304.899889,254.3205948315141,503673.0,54548599.0,13856303994.366339,253.93166955346942,1103550.0,102457143.0,26028459299.266228,254.07065814606867,254.01759620565758,0.041567987194722884,0.00016380400969620074,53395.64338385856,60200.66442441649,210.7591406171829,237.7354451384805,0.02952062755406758,0.00011582850054015036,0.03310791886814725,0.03306531692642714,0.00013016560164924031,0.00013001072800899525,0.07421538760857374,0.0002904885668592131,-0.04469469742262884,-0.00017465982834012473,0.029652100543076876,0.029629124587242234,0.00011662525940190709,0.000116521513534138,0.0034132538269097488,0.003478831089002034,1.3385615073639571e-05,1.3644232043106562e-05,9.60674872324282e-09,5.144140440448919e-10,0.09265820205064239,0.05776576971442883,1.669495405150074e-07,1.6178393492555903e-07,77.0,78.0,13.0,0.09212981951851755,0.016265674244365536,0.05118190331429129,0.39035119359306913,0.350423617498942,0.07440505096706351,100277.0,15009629.0,3815990747.0403633,84130.0,15394032.0,3914023555.612003,184407.0,30403661.0,7730014302.652367,253.974230153278,254.02321389872935,0.08756175199423015,0.012643312922085271,154561.0,40488561.0,10287458750.499979,170430.0,45812004.0,11640635135.109964,324991.0,86300565.0,21928093885.609943,253.96017334837438,253.90102663615386,0.048829044496616826,0.061684914809074544,53593.0,29864264.0,7589748779.527012,59800.0,34174952.0,8686678509.052778,113393.0,64039216.0,16276427288.57979,254.03050614259533,254.01463348828773,0.05473882867549143,0.06731325380373177
ZTS,2023-10-11,9833.0,10551.0,20384.0,412068.0,394555.0,806623.0,176.40902428088984,176.30911942555315,72718460.20640562,69603009.41790123,142321469.62430686,176.4719905607949,176.40888955380424,ZTS,57602.286590464,N,179452.0,176.95,2883836.0,1.0,34425.252032256,N,23283.0,176.68,87185.0,1.0,19.0,46797.639549696,176.245,41.0,57599.998657024,176.97,3.0,34425.25454336,176.68,40.0,57600.106704128,176.97,46796.286635264,176.31,176.18,200.0,400.0,57599.999030784,176.98,176.97,4500.0,1300.0,34425.25295588,176.94,176.38,400.0,100.0,57600.105911016,177.1,176.83,100.0,600.0,176.245,176.975,176.66,176.965,172.73,177.35,176.35747605269165,985865.0,174038503.27930734,20365.0,176.53380866478406,175.63,177.1,176.16648148148147,1042.0,183428.76499999993,27.0,176.03528310940493,174.0,185.79,177.02352500000006,66928.0,11842917.141999997,64.0,176.950112688262,0.0015270200631466303,213.0,16373.0,276437.0,48759980.359407075,4456.0,134829.0,23792637.865000043,10114.0,426022.0,75186745.41050558,176.39299776092557,10337.0,627210.0,110772198.8858012,176.3266974034056,20451.0,1053232.0,185958944.2963068,176.4855932569341,176.6110216447461,9890.0,475438.0,83931703.4942056,176.41235364549928,10566.0,578397.0,102133145.69210124,176.30965576935552,20456.0,1053835.0,186064849.18630683,176.53553879623757,176.57966015055618,0.15142133679220987,0.0008596083934709382,40969.30863339821,40509.987805194505,232.47187257833005,230.06799251264493,0.06008553157042838,0.00034093762911567593,0.06107494635812672,0.061120336320232685,0.00034638726415648453,0.00034664748697079925,0.027368070941475045,0.00015510500987697185,0.032717460628956405,0.00018583261923870426,0.08273694241825903,0.08277614178481424,0.00046958584870448935,0.0004698064532503528,-0.02161660609802658,-0.021701195426687865,-0.00012293836173368642,-0.00012341918909387263,1.0368273558139052e-07,5.649033451029782e-09,0.03522370486656201,0.021711505870772342,2.459328492030312e-07,2.3572402999109443e-07,77.0,78.0,13.0,0.12620222760239072,0.18920642066036364,0.08012478702489645,0.3122678452620915,0.02989914719635356,0.003956731211086639,618.0,28102.0,4953529.5119060045,590.0,31912.0,5626537.5973999975,1208.0,60014.0,10580067.109306002,176.23504183495155,176.20505033898294,0.023178807947019868,0.06348518678974906,291.0,107779.0,19020654.239099994,273.0,78944.0,13927203.956799997,564.0,186723.0,32947858.195899993,176.49672268041218,176.41452417582414,0.031914893617021274,0.15442661054074752,76.0,70263.0,12397738.049999999,76.0,43908.0,7745362.093099999,152.0,114171.0,20143100.143099997,176.4171631578948,176.3455921052632,0.0,0.2308379535959219
ZTS,2023-10-12,11846.0,13842.0,25688.0,455938.0,561843.0,1017781.0,175.5755775686309,175.55381071138385,80074621.50830778,98696026.3142122,178770647.82252,175.6261191396808,175.66477879801334,ZTS,57602.240940032,N,187069.0,174.31,2786910.0,1.0,34200.72592256,N,16906.0,176.83,22062.0,1.0,10.0,46798.376813568,176.675,600.0,57599.988883712,174.32,1.0,34200.731314432,176.9,8.0,57600.506721536,174.32,46792.136944896,176.73,176.62,200.0,200.0,57599.998864896,174.37,174.36,7800.0,3400.0,34200.73053156,177.93,176.21,500.0,100.0,57600.208604904,174.81,173.94,500.0,500.0,176.675,174.365,177.07,174.375,174.21,177.61,175.56365521348985,1205658.0,211519499.77251983,25692.0,175.4390546676751,176.85,177.26,176.98,408.0,72190.47,16.0,176.93742647058824,172.68,175.435438,174.29715744303795,101062.0,17616141.173139997,79.0,174.31023701430803,-0.01435349584011194,255.0,20825.0,360523.0,63300025.97381973,5796.0,162091.0,28461990.325000066,12529.0,484083.0,84996713.64824772,175.54522995578293,13251.0,823038.0,144209879.1174122,175.5745037406228,25780.0,1307121.0,229206592.76565993,175.58293443117753,175.2165502897949,11855.0,456691.0,80205899.07144779,175.57489939401114,13932.0,850437.0,149001932.3442122,175.54853236197093,25787.0,1307128.0,229207831.41566,175.6239975638841,175.20631433511502,0.14941956178876498,0.0008496031834917125,40563.98074703375,37409.5548476345,230.68437569629452,212.92250855854405,0.05636253250242695,0.00032064364363670195,0.05597658395189396,0.055924447477302554,0.00031837734209395576,0.00031809057525242245,0.01200420728334519,6.801032233489693e-05,0.04435832521908746,0.0002526333213018071,0.022176979908641484,0.0222405131581232,0.00012566920014650082,0.00012602472521438708,0.03374746756866196,0.033736070793770334,0.00019242137510592185,0.00019235261687957205,5.4695810340754156e-08,3.484454013480626e-09,0.0777016505761445,0.10405480157322645,3.788420914007204e-07,4.2866286389480104e-07,77.0,78.0,13.0,0.10205602310642083,0.18345877193597315,0.07462797032042201,0.049592570854760876,0.18205331634147504,0.651065274022381,784.0,35843.0,6299482.12122,760.0,31772.0,5582098.804599996,1544.0,67615.0,11881580.925819997,175.73383947066324,175.60933065789467,0.015544041450777202,0.060208533609406194,307.0,99871.0,17544809.066599984,470.0,148043.0,26030948.850400012,777.0,247914.0,43575757.916999996,175.5587315960912,175.5767887234043,0.2097812097812098,0.19430931694055198,76.0,58373.0,10263654.5437,119.0,85527.0,15056887.277400004,195.0,143900.0,25320541.821100004,175.82904736842107,175.72497310924373,0.2205128205128205,0.18870048644892287
ZTS,2023-10-13,12157.0,12651.0,24808.0,477109.0,506331.0,983440.0,174.25768523484274,174.22077751956306,83128716.28309995,88210349.59189965,171339065.87499958,174.23422380022166,174.2147914939035,ZTS,57602.282531328,N,251937.0,174.38,2776649.0,1.0,34200.960741632,N,23545.0,173.42,24816.0,1.0,3.0,46788.679384064,174.54,200.0,57599.99912064,174.4,1.0,34200.97861888,173.51,12.0,57600.136472576,174.44,46798.980924672,174.64,174.51,100.0,200.0,57599.999898112,174.41,174.4,4100.0,7000.0,34200.97860324,173.86,173.0,100.0,100.0,57600.130705640004,174.5,174.25,100.0,100.0,174.575,174.405,173.43,174.375,173.0,175.86,174.23888419652624,1235589.0,215308813.21499956,24811.0,174.2560132981109,172.88,175.92,173.4429906542055,4460.0,773902.6799999999,107.0,173.5207802690583,174.075,174.38,174.3711594202897,47661.0,8311124.570000001,69.0,174.3799872012757,0.005520428050654618,328.0,20192.0,360324.0,62788187.57609985,5723.0,182814.0,31859542.175000116,12479.0,460441.0,80247454.82940002,174.26294315249496,12507.0,827004.0,144100196.13559982,174.2087949308396,24986.0,1287445.0,224347650.96499985,174.28390353899852,174.2436507388112,12235.0,523644.0,91242449.62819993,174.25702297506982,12752.0,764066.0,133151390.83679973,174.21551832653665,24987.0,1287710.0,224393840.46499968,174.2451925892399,174.26687071116856,0.15444621970778794,0.0008863544243982936,44775.613666453144,36719.43505032037,256.8469098032983,210.886278999754,0.06520813001573081,0.00037420125424375225,0.07917622152093012,0.07922036859413087,0.00045466205937212624,0.0004549207618645579,0.033380086300762155,0.0001914878347925961,0.03182804371496526,0.0001827134194511338,0.011623106349954244,0.011658898818992082,6.641691518686649e-05,6.662203373065274e-05,0.06759726224417766,0.06751732270193717,0.0003885038466776898,0.00038804002564147097,7.942797231232175e-08,6.272031469163293e-09,0.019912931312479846,0.02971406491499227,1.2398009207519706e-07,1.0350957661562666e-07,77.0,78.0,13.0,0.11058173092768529,0.17164699218404966,0.03782837736636324,0.38012863883810755,0.5003753209819006,0.36135687896110147,723.0,23143.0,4033138.1402000003,721.0,28033.0,4884306.724799996,1444.0,51176.0,8917444.864999996,174.2333401106502,174.1986202496533,0.0013850415512465374,0.09555260278255433,393.0,129279.0,22509259.92169999,473.0,117808.0,20515771.233799998,866.0,247087.0,43025031.15549999,174.2352740458015,174.21577737843566,0.09237875288683603,0.04642494344097423,84.0,77210.0,13437214.283400001,86.0,52423.0,9124736.7726,170.0,129633.0,22561951.056,174.2764440476191,174.17293720930238,0.011764705882352941,0.19120902856525732
